country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kenya,1898879962.1239302,1915600021.2430954,1626300019.372255,1912470022.663474,2532509954.854847,2942139993.7123075,3724520044.4459987,4505610070.817174,4704900012.876848,6219460086.230188,5962810035.005212,8473470113.780365,9251559836.61861,11293459985.06808,9043280056.08917,8483119995.942348,7740419937.672101,8574729987.232016,8424019911.939289,9663679744.439201,11329179789.826279,9559619862.511755,8096160116.843889
Lesotho,164119998.95423642,219900001.17570153,281670000.0427664,296429999.35150105,310299995.15786797,240580003.2839178,237529999.72552064,404870001.96799576,434959990.460426,404339998.42777765,871459980.3872409,922119986.2472718,977910001.7398605,1138260034.9448624,336960000.5820392,272879997.72280455,387560000.7250908,485560000.9448819,528349987.0672821,433180002.87935084,560329986.0134721,586939992.4762542,491479993.5370687
Liberia,247000001.54227066,149739998.60137692,213399999.85694894,426829988.80743957,880270012.9821888,896770002.5476526,1039150013.7671824,1166929990.9807756,4363170045.532292,1773930015.5155358,4476989959.631116,2751400032.9114494,2032069999.2552414,1825609968.4536445,2584400016.2109747,3774750002.7082844,2904859982.42721,2236500014.1933575,1996900018.0810695,1924439995.4788384,2024549967.944623,1817100050.23703,1469270003.1008584
Madagascar,1140699995.1489277,1381209970.7797165,1305879992.1460447,1908289950.0504136,4407270019.628108,3285029981.952161,2551209972.258657,2539410028.453915,2112039978.0906749,1416520017.262549,1504039977.4610994,1480879983.8349228,1183829986.2481654,1602829985.9017134,1858439979.4340148,2249420012.9434476,2008759996.5520203,2295029976.4201045,2321930014.938116,2236890001.848341,3568779956.825074,3173280025.485912,3169010064.389554
Malawi,1769799974.2627141,1599949995.0036404,1525099992.4466012,2000220027.9049578,1878360040.5417387,2059630013.8570383,2510969995.9643183,2332080004.8150115,2918009967.7704277,2488019975.4200873,3537800008.9339943,2666099981.9859886,3908700051.8851056,3792579995.121812,3058079985.8644595,3542050063.690174,4225489950.234064,5011619983.457037,4336039978.86927,3899890042.0144157,4500450010.5083,3740220115.7175055,3966999975.8787503
Mauritania,866030007.5635319,1140860007.4984148,1480560021.7878814,976280017.4653537,696400011.6735698,655599997.1888967,708440002.027899,997039975.8219721,1195829995.676875,1000600012.5966969,1018199987.3667963,1182140024.4235992,1285890006.810427,992209984.9320947,798339983.5973974,976149984.9110842,846609999.6063861,804909985.993057,1226260014.2918522,1121210011.10971,1681060032.0138042,1108439978.2046678,945360019.1026921
Mozambique,3825219986.893236,4155579935.543239,9372749992.385517,4070959998.0861,4570410005.249082,4706119978.044183,5787179939.884694,5804369964.800777,6480720002.356912,6706850054.644049,7099350057.51252,7855499943.997721,7499999996.609994,8215909970.581546,7275440093.040474,6145310098.782187,5248760078.541936,6386089993.461969,6420530051.488428,6151350084.232176,7942039998.982111,7424300105.422738,7903049912.456423
Nigeria,590090010.1326406,667940011.5348394,1196399990.6219542,1170570014.6295137,2076409980.5466845,25892209863.640385,46114259707.40431,6339709948.331127,3474470006.2125907,4006649997.2194424,6131419961.467391,5517950030.84838,5984330037.422485,7695569935.98119,7392100078.184168,7603570110.38065,8115980077.374723,11174260185.97372,10905040110.934523,9913879981.560635,10612530141.357342,10513969939.358541,12071089923.433962
Rwanda,1292649993.0098655,1197430004.1161473,1405320012.241603,1335640005.2905085,1668589995.2910843,2008600003.3617015,2085600030.1167374,2195020023.833961,2739649999.741466,2957420046.8882904,3455759939.48057,3926489971.783012,2832790041.0480795,3581759979.8105693,3232330089.6398797,3470500021.450222,3672239912.4614997,3921579955.3468857,3501929909.47888,3704040009.7072196,4630979980.383076,4111709909.845138,3365210017.438982
Samoa,123050003.22684643,185610003.8997829,174090002.6410817,139609998.2261658,126989997.48378982,162990000.53852808,192179997.67512098,135540002.17467552,154850003.24994326,250749996.0958959,452409998.2157344,333420002.3375452,413540003.046393,364500000.0670542,333360001.5752015,338039996.8214329,318619998.48112464,455049997.02051324,446130004.1973596,428169992.88275826,459890010.04025406,315680001.784116,373629989.9667504
