year,Angola,Botswana,Burkina Faso,Central African Republic,Chad,Djibouti,"Egypt, Arab Rep.",Ethiopia,Gabon,Ghana,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mauritania,Mozambique,Nigeria,Rwanda,Samoa,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2010,837949998.0732801,613180006.6083677,3356389992.8629484,932780008.0701716,1810910014.446824,477179992.0201299,2237969979.051503,11443239986.840649,403499997.4779786,5524940024.3871,5962810035.005212,871459980.3872409,4476989959.631116,1504039977.4610994,3537800008.9339943,1018199987.3667963,7099350057.51252,6131419961.467391,3455759939.48057,452409998.2157344,179479997.7838994,3161719995.7966814,1489679977.096617,1926409991.7300043,7827959905.836737,9845310076.173393,1422370012.7415366,1998160015.9667447,5785269973.400984,3299719983.734191,2718020009.6964846
2011,688350009.9964434,459670002.23323697,3144079971.6934557,874809970.4757335,1643600005.77569,480499998.8079076,1438819984.7247462,11368339872.475721,259599992.7707016,5605329923.707991,8473470113.780365,922119986.2472718,2751400032.9114494,1480879983.8349228,2666099981.9859886,1182140024.4235992,7855499943.997721,5517950030.84838,3926489971.783012,333420002.3375452,231340005.05506998,3500219971.854242,1336820017.9636488,3971189970.947806,6524909966.234126,8537170112.59124,1823539990.849794,3681419987.4103084,5524670009.784393,3664789918.979636,2732720026.426018
2012,820789992.7906692,280279998.3248115,3706519954.8602095,722650000.918657,1710259989.596904,502320002.74583685,5621119986.534119,10711990062.523645,271309998.6873567,5516770072.197543,9251559836.61861,977910001.7398605,2032069999.2552414,1183829986.2481654,3908700051.8851056,1285890006.810427,7499999996.609994,5984330037.422485,2832790041.0480795,413540003.046393,170309998.82519257,3789379985.4181757,1418040006.2855327,3640210012.149066,4897419994.264833,9552740000.296383,776670001.0858486,3955929975.824429,5458839980.442079,3409549997.7283154,3579099996.440112
2013,934020014.9454172,434280006.09576625,3569449924.442916,709249998.3906754,1660269966.8966243,513589994.151145,11541549933.329226,11987210158.662876,336609996.4194001,4215620083.4624434,11293459985.06808,1138260034.9448624,1825609968.4536445,1602829985.9017134,3792579995.121812,992209984.9320947,8215909970.581546,7695569935.98119,3581759979.8105693,364500000.0670542,167669998.4781445,3416679966.9340224,1471640006.6223006,3824039971.0908556,5512729943.927374,11101420062.549425,687210007.9189987,2702090038.880705,5530799974.672497,3887000015.452504,2940679973.877966
2014,787029991.749674,403990007.1136654,3792109974.0043254,2119940028.0993443,1390700005.8256087,559949989.274144,7727810210.607952,11627149958.014496,431169990.6177812,3576670019.075274,9043280056.08917,336960000.5820392,2584400016.2109747,1858439979.4340148,3058079985.8644595,798339983.5973974,7275440093.040474,7392100078.184168,3232330089.6398797,333360001.5752015,131370000.98451975,4027110014.04003,3025490053.4413757,4100759898.092608,3048320006.0874224,8483449969.310317,653730000.6821742,3111459979.1765203,5683400082.848969,3673789967.7231903,2728149980.2246695
2015,1419110009.364785,265259999.319911,3231290022.50359,1845739983.8902059,2094439965.218307,563610008.4371862,5991479904.82674,10893799828.646708,395650004.41670454,5346109944.43298,8483119995.942348,272879997.72280455,3774750002.7082844,2249420012.9434476,3542050063.690174,976149984.9110842,6145310098.782187,7603570110.38065,3470500021.450222,338039996.8214329,172640000.53890055,3123909989.02917,3211670018.1830654,4210350050.52015,3227529948.7672787,8626180038.537825,660119994.9681761,2118600016.99254,5614350018.411883,2982429964.9819736,2722419937.5882754
2016,657869996.3279072,353939995.16963935,3247479988.2993145,1852779993.504285,1988760026.4512,560650003.2283365,6346279975.295068,13511430061.552671,155879999.56309792,4188250064.52948,7740419937.672101,387560000.7250908,2904859982.42721,2008759996.5520203,4225489950.234064,846609999.6063861,5248760078.541936,8115980077.374723,3672239912.4614997,318619998.48112464,149179999.15406117,2550029973.693192,2459710021.4362144,4354730014.175184,2908260049.3878136,8034329958.364378,560329994.9057395,2643220015.0396676,6017790029.831241,3602979990.8827996,2475649994.1051006
2017,683940004.9597019,387769995.812327,3062310028.9888725,1771640045.4267855,2094560009.2150266,475740002.475679,503169992.8715817,13592820003.684612,432169999.60318184,3923370075.8777523,8574729987.232016,485560000.9448819,2236500014.1933575,2295029976.4201045,5011619983.457037,804909985.993057,6386089993.461969,11174260185.97372,3921579955.3468857,455049997.02051324,130770001.32575622,3097730015.691369,1822379993.174227,6767890070.233496,2794449929.455293,8584850204.136229,1049370000.0364332,3192079968.109728,7135540144.436068,3770070002.15352,2611600013.848395
2018,542379999.2762506,317190001.64046896,3726470131.36372,2113719980.6123977,2768429999.4185567,567269996.6877702,5898499850.949278,14923609976.58782,456330003.60429376,3620690018.568196,8424019911.939289,528349987.0672821,1996900018.0810695,2321930014.938116,4336039978.86927,1226260014.2918522,6420530051.488428,10905040110.934523,3501929909.47888,446130004.1973596,153840000.19356608,3576900071.7103524,1715200020.9297981,6094630028.6725235,3459840002.7267694,8412890027.999887,986240008.8571017,3002699991.1144385,6673049986.343829,3527300098.19195,2723029979.512095
2019,224260000.1208484,258510007.82102358,3701530017.621818,2261949969.008565,2079939981.3599887,839970029.6372175,5621300058.748572,14514939845.748245,489589996.5018035,3011949982.5835233,9663679744.439201,433180002.87935084,1924439995.4788384,2236890001.848341,3899890042.0144157,1121210011.10971,6151350084.232176,9913879981.560635,3704040009.7072196,428169992.88275826,148780001.7073752,4497589985.907081,1839390004.2232118,6379250056.751074,4600410090.833906,6921569985.568529,1109799996.294082,3874389981.4821815,6842449874.505402,3268539982.0543795,2922340047.765523
2020,397270005.52415913,304850002.6799738,5430370013.594629,2662289985.6828165,3021770035.9970303,748149993.6431656,5181470055.382702,16061750224.450602,201509996.09380943,5888750040.840362,11329179789.826279,560329986.0134721,2024549967.944623,3568779956.825074,4500450010.5083,1681060032.0138042,7942039998.982111,10612530141.357342,4630979980.383076,459890010.04025406,240620002.23994258,5422910029.739141,2413149985.935539,10647180002.10449,6673740035.476169,7449009982.284159,1468209970.3960114,3814839998.6401176,9246210228.485983,3414019964.851446,3408849974.565213
2021,885020006.541162,349159999.4301796,5010880108.416082,2138980029.720814,2273560004.8229103,489580003.14980686,21235700488.42953,13475479804.243885,370800008.4757805,4109439939.4132285,9559619862.511755,586939992.4762542,1817100050.23703,3173280025.485912,3740220115.7175055,1108439978.2046678,7424300105.422738,10513969939.358541,4111709909.845138,315680001.784116,192640007.13452703,4622620045.047248,1963939935.7065558,8935640156.26535,10739049974.739555,7784200071.737181,1069560020.9124384,4280900160.0183578,8195490143.334489,3571880052.749072,3260679971.9966965
2022,377160009.37297934,305799994.80769044,4415510056.577623,2166040022.4290805,2245049971.8226485,301839997.9285895,13496160318.633541,15778120349.835617,524469992.76429445,3148980061.8514423,8096160116.843889,491479993.5370687,1469270003.1008584,3169010064.389554,3966999975.8787503,945360019.1026921,7903049912.456423,12071089923.433962,3365210017.438982,373629989.9667504,200699998.09190625,4559089940.078558,1483469988.152385,6506759915.18424,5566060041.941706,7737519893.910742,1207240000.3150108,4884600045.338275,6786749930.728239,5134779897.116136,2620199981.7974863
